Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,25,DEN,Nuggets,2021-12-09,SAS,111,123,Spurs,112.2,124.3,98.9,Away,0
2022,26,DEN,Nuggets,2021-12-11,SAS,127,112,Spurs,126.9,111.9,100.1,Away,1
2022,27,DEN,Nuggets,2021-12-13,WAS,113,107,Wizards,111.4,105.5,101.4,Home,1
2022,28,DEN,Nuggets,2021-12-15,MIN,107,124,Timberwolves,107.0,124.0,100.0,Home,0
2022,29,DEN,Nuggets,2021-12-17,ATL,133,115,Hawks,126.4,109.3,105.2,Away,1
2022,30,DEN,Nuggets,2021-12-22,OKC,94,108,Thunder,95.5,109.7,98.4,Away,0
2022,31,DEN,Nuggets,2021-12-23,CHO,107,115,Hornets,103.2,110.9,103.7,Home,0
2022,32,DEN,Nuggets,2021-12-26,LAC,103,100,Clippers,103.2,100.2,99.8,Away,1
2022,33,DEN,Nuggets,2021-12-28,GSW,89,86,Warriors,96.2,93.0,92.5,Away,1
2022,34,DEN,Nuggets,2022-01-01,HOU,124,111,Rockets,125.6,112.4,98.7,Away,1
2022,35,DEN,Nuggets,2022-01-03,DAL,89,103,Mavericks,96.8,112.0,92.0,Away,0
2022,36,DEN,Nuggets,2022-01-05,UTA,109,115,Jazz,111.4,117.6,97.8,Home,0
2022,37,DEN,Nuggets,2022-01-07,SAC,121,111,Kings,122.7,112.6,98.6,Home,1
