Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,81,CHI,Bulls,2022-04-08,CHO,117,133,Hornets,124.9,141.9,93.7,Home,0
2022,82,CHI,Bulls,2022-04-10,MIN,124,120,Timberwolves,122.6,118.6,101.2,Away,1
2022,1,CLE,Cavaliers,2021-10-20,MEM,121,132,Grizzlies,119.7,130.6,101.1,Away,0
2022,2,CLE,Cavaliers,2021-10-22,CHO,112,123,Hornets,108.8,119.5,102.9,Home,0
2022,3,CLE,Cavaliers,2021-10-23,ATL,101,95,Hawks,105.6,99.3,95.7,Home,1
2022,4,CLE,Cavaliers,2021-10-25,DEN,99,87,Nuggets,102.8,90.4,96.3,Away,1
2022,5,CLE,Cavaliers,2021-10-27,LAC,92,79,Clippers,96.8,83.1,95.0,Away,1
2022,6,CLE,Cavaliers,2021-10-29,LAL,101,113,Lakers,108.5,121.4,93.1,Away,0
2022,7,CLE,Cavaliers,2021-10-30,PHO,92,101,Suns,91.5,100.4,100.6,Away,0
2022,8,CLE,Cavaliers,2021-11-01,CHO,113,110,Hornets,113.4,110.4,99.7,Away,1
2022,9,CLE,Cavaliers,2021-11-03,POR,107,104,Trail Blazers,114.2,111.0,93.7,Home,1
2022,10,CLE,Cavaliers,2021-11-05,TOR,102,101,Raptors,113.2,112.1,90.1,Away,1
2022,11,CLE,Cavaliers,2021-11-07,NYK,126,109,Knicks,130.7,113.1,96.4,Away,1
2022,12,CLE,Cavaliers,2021-11-10,WAS,94,97,Wizards,103.6,106.9,90.7,Home,0
2022,13,CLE,Cavaliers,2021-11-12,DET,98,78,Pistons,103.1,82.1,95.0,Home,1
2022,14,CLE,Cavaliers,2021-11-13,BOS,91,89,Celtics,99.7,97.5,91.2,Home,1
2022,15,CLE,Cavaliers,2021-11-15,BOS,92,98,Celtics,98.0,104.4,93.8,Home,0
2022,16,CLE,Cavaliers,2021-11-17,BRK,99,109,Nets,102.9,113.3,96.2,Away,0
2022,17,CLE,Cavaliers,2021-11-18,GSW,89,104,Warriors,99.6,116.4,89.4,Home,0
2022,18,CLE,Cavaliers,2021-11-22,BRK,112,117,Nets,111.5,116.5,100.5,Home,0
2022,19,CLE,Cavaliers,2021-11-24,PHO,115,120,Suns,113.0,117.9,101.7,Home,0
2022,20,CLE,Cavaliers,2021-11-27,ORL,105,92,Magic,109.3,95.8,96.0,Home,1
2022,21,CLE,Cavaliers,2021-11-29,DAL,114,96,Mavericks,115.3,97.1,98.8,Away,1
2022,22,CLE,Cavaliers,2021-12-01,MIA,111,85,Heat,123.3,94.4,90.0,Away,1
2022,23,CLE,Cavaliers,2021-12-03,WAS,116,101,Wizards,121.8,106.1,95.2,Away,1
2022,24,CLE,Cavaliers,2021-12-05,UTA,108,109,Jazz,115.9,116.9,93.2,Home,0
2022,25,CLE,Cavaliers,2021-12-06,MIL,104,112,Bucks,103.6,111.5,100.4,Away,0
